commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Beromünster,303.0,7.2,4.5,"Europäisches Sportpferd Deutschland  50, Europäisches Sportpferd Schweiz  47, Shetland Pony  38, Freiberger  28, Haflinger  14",
La Grande Béroche,124.0,2.9,1.4,"Europäisches Sportpferd Schweiz  36, Freiberger  17, Europäisches Sportpferd Deutschland  10, Friesen  8, Shetland Pony  7",
Schaffhausen,70.0,1.7,0.2,"Europäisches Sportpferd Deutschland  13, Freiberger  7, Islandpferd  5, Shetland Pony  5",
La Brévine,94.0,2.2,15.1,"Freiberger  38, Europäisches Sportpferd Schweiz  15, Esel Rasse unbekannt  8, Shetland Pony  5",
Wartau,84.0,2.0,1.6,"Freiberger  15, Europäisches Sportpferd Schweiz  13, Europäisches Sportpferd Deutschland  11, Shetland Pony  8, Islandpferd  5, Tennessee Walking Horse  5",
Hasliberg,35.0,0.8,3.0,Freiberger  12,
Sennwald,322.0,7.7,5.6,"Europäisches Sportpferd Schweiz  78, Europäisches Sportpferd Deutschland  47, Freiberger  28, Islandpferd  26, Esel Rasse unbekannt  20",
Tafers,240.0,5.8,3.1,"Freiberger  50, Europäisches Sportpferd Schweiz  31, Shetland Pony  23, Esel Rasse unbekannt  21, Quarter Horse  17",
Haute-Ajoie,623.0,15.2,56.8,"Freiberger  368, Europäisches Sportpferd Schweiz  135, Esel Rasse unbekannt  17, Europäisches Sportpferd Deutschland  14, Shetland Pony  10",
Tamins,24.0,0.6,2.0,Esel Rasse unbekannt  8,
Meiringen,55.0,1.4,1.2,"Shetland Pony  12, Freiberger  10, Europäisches Sportpferd Schweiz  7",
Hasle (LU),93.0,2.3,5.3,"Shetland Pony  24, Europäisches Sportpferd Schweiz  22, Freiberger  11, Pony Schweiz  6, Esel Rasse unbekannt  5",
Saas-Fee,0.0,0.0,0.0,,
Schänis,158.0,4.0,4.0,"Shetland Pony  23, Freiberger  19, Esel Rasse unbekannt  16, Europäisches Sportpferd Deutschland  16, Haflinger  14, Pony Schweiz  14",
Trient,6.0,0.2,3.7,,
Sainte-Croix,78.0,2.0,1.6,"Freiberger  20, Esel Rasse unbekannt  17, Shetland Pony  5",
St. Gallen,176.0,4.5,0.2,"Esel Rasse unbekannt  26, Freiberger  25, Europäisches Sportpferd Deutschland  23, Shetland Pony  17, Araber  12",
Schwarzenberg,47.0,1.2,2.7,"Esel Rasse unbekannt  10, Pony Schweiz  8, Shetland Pony  7",
Val-d'Illiez,49.0,1.2,2.4,"Esel Rasse unbekannt  24, Europäisches Sportpferd Schweiz  7, Freiberger  6",
Personico,15.0,0.4,4.6,Esel Rasse unbekannt  7,
Champéry,34.0,0.9,2.5,"Esel Rasse unbekannt  14, Shetland Pony  7",
Roveredo (GR),45.0,1.2,1.7,Esel Rasse unbekannt  28,
Schüpfheim,135.0,3.5,3.2,"Freiberger  40, Shetland Pony  36, Europäisches Sportpferd Schweiz  11, Esel Rasse unbekannt  10, Pony Schweiz  6",
Eisten,20.0,0.5,10.6,Esel Rasse unbekannt  14,
Fully,86.0,2.3,1.0,"Esel Rasse unbekannt  35, Europäisches Sportpferd Schweiz  7, Freiberger  6, Europäisches Sportpferd Belgien  5, Quarter Horse  5",
Luthern,101.0,2.7,8.1,"Freiberger  42, Shetland Pony  17, Europäisches Sportpferd Schweiz  12, Pony Schweiz  6, Esel Rasse unbekannt  5",
Calanca,13.0,0.3,6.5,Esel Rasse unbekannt  10,
Brig-Glis,122.0,3.2,0.9,"Shetland Pony  30, Freiberger  11, Quarter Horse  9, Esel Rasse unbekannt  8, Araber  6, Europäisches Sportpferd Schweiz  6",
Martigny-Combe,68.0,1.8,2.9,"Shetland Pony  28, Esel Rasse unbekannt  19, Freiberger  5",
Romoos,59.0,1.6,9.0,"Shetland Pony  20, Freiberger  18, Esel Rasse unbekannt  12",
Saint-Martin (VS),14.0,0.4,1.7,Esel Rasse unbekannt  5,
Troistorrents,44.0,1.2,0.9,Esel Rasse unbekannt  25,
Röthenbach im Emmental,69.0,1.9,5.9,"Esel Rasse unbekannt  19, Shetland Pony  14, Freiberger  12, Islandpferd  7, Bosnisches Gebirgspferd  6",
Erlenbach im Simmental,59.0,1.6,3.4,"Esel Rasse unbekannt  14, Freiberger  5, Haflinger  5, Pony Schweiz  5, Shetland Pony  5",
Schangnau,55.0,1.5,6.0,"Freiberger  30, Shetland Pony  9, Esel Rasse unbekannt  8",
Capriasca,138.0,3.8,2.0,"Esel Rasse unbekannt  44, Freiberger  35, Shetland Pony  9, Europäisches Sportpferd Deutschland  6, Haflinger  5",
