commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Sils im Engadin/Segl,905.0,14.2,126.6,"Weisses_Alpenschaf  273, Kreuzung  67, Saaser_Mutte  46, Spiegelschaf  42, Suffolk  39",
La Punt Chamues-ch,493.0,7.8,71.9,"Weisses_Alpenschaf  112, Ostfriesisches_Milchschaf  19",
Lausanne,172.0,4.2,0.1,"Walliser_Landschaf  51, Spiegelschaf  39, Charollais_Suisse  14, Ouessant  7, Kreuzung  6",
Gsteig,107.0,1.7,10.9,"Schwarzbraunes_Bergschaf  57, Weisses_Alpenschaf  36, Walliser_Schwarznasenschaf  6, Spiegelschaf  5",
Andermatt,1372.0,22.0,89.8,"Weisses_Alpenschaf  248, Engadinerschaf  208, Schwarzbraunes_Bergschaf  71, Buendner_Oberlaender_Schaf  33, Kreuzung  18","Mario  66, Peter  42, Markus  23"
Trub,525.0,8.5,40.0,"Lacaune  88, Schwarzbraunes_Bergschaf  73, Ostfriesisches_Milchschaf  64, Heidschnucke  48, Suffolk  36",
Acquarossa,420.0,6.8,23.2,"Lacaune  231, Weisses_Alpenschaf  124, Kreuzung  26, Ouessant  11",
Clos du Doubs,274.0,4.4,21.7,"Schwarzbraunes_Bergschaf  99, Charollais_Suisse  53, Kreuzung  51, Ostfriesisches_Milchschaf  8, Weisses_Alpenschaf  7",
Isenthal,1374.0,22.5,288.7,"Weisses_Alpenschaf  443, Spiegelschaf  53, Braunkoepfiges_Fleischschaf  43, Kreuzung  42, Scottish_Blackface  41",
Schiers,984.0,16.0,36.1,"Texel  218, Weisses_Alpenschaf  95, Spiegelschaf  86, Berrichon_du_Cher  52, Suffolk  47",Gabi  10
Ormont-Dessus,615.0,10.0,41.9,"Suffolk  210, Kreuzung  198, Schwarzbraunes_Bergschaf  74, Weisses_Alpenschaf  19, Charollais_Suisse  7",
St. Stephan,654.0,10.7,49.9,"Schwarzbraunes_Bergschaf  130, Weisses_Alpenschaf  113, Lacaune  22, Walliser_Schwarznasenschaf  20, Engadinerschaf  19",
Eggiwil,888.0,14.7,35.7,"Braunkoepfiges_Fleischschaf  213, Kreuzung  136, Lacaune  117, Schwarzbraunes_Bergschaf  80, Jakobsschaf  43",Max  5
Haut-Intyamon,553.0,9.2,34.8,"Schwarzbraunes_Bergschaf  131, Kreuzung  91, Charollais_Suisse  54, Dorper  38, Lacaune  33",
Crans-Montana,245.0,4.1,2.4,"Walliser_Schwarznasenschaf  164, Spiegelschaf  45, Lacaune  23, Walliser_Landschaf  10",
Ollon,551.0,9.3,7.2,"Texel  382, Weisses_Alpenschaf  54, Kreuzung  27, Schwarzbraunes_Bergschaf  26, Walliser_Schwarznasenschaf  21",Doris  7
Sumiswald,741.0,12.5,14.7,"Schwarzbraunes_Bergschaf  162, Braunkoepfiges_Fleischschaf  95, Walliser_Landschaf  66, Kreuzung  51, Engadinerschaf  41",
Biasca,187.0,3.2,3.1,"Weisses_Alpenschaf  65, Schwarzbraunes_Bergschaf  5",
Erstfeld,643.0,10.9,16.7,"Weisses_Alpenschaf  224, Texel  73, Schwarzbraunes_Bergschaf  67, Kreuzung  41, Skudde  21",
Rossa,0.0,0.0,0.0,,
Täsch,157.0,2.7,11.7,Weisses_Alpenschaf  155,
Grengiols,354.0,6.0,82.1,"Weisses_Alpenschaf  64, Schwarzbraunes_Bergschaf  60, Kreuzung  32, Braunkoepfiges_Fleischschaf  26, Charollais_Suisse  15",
Lauenen,331.0,5.7,40.0,"Schwarzbraunes_Bergschaf  82, Weisses_Alpenschaf  49, Dorper  35, Braunkoepfiges_Fleischschaf  17, Suffolk  14",
Liddes,145.0,2.5,19.7,"Weisses_Alpenschaf  57, Walliser_Schwarznasenschaf  50, Walliser_Landschaf  22, Kreuzung  9",
Schwende-Rüte,1748.0,17.8,29.1,"Weisses_Alpenschaf  554, Kreuzung  442, Schwarzbraunes_Bergschaf  219, Spiegelschaf  88, Braunkoepfiges_Fleischschaf  69",
Sachseln,192.0,3.6,3.7,"Kreuzung  68, Weisses_Alpenschaf  45, Schwarzbraunes_Bergschaf  21, Nolana  8, Dorper  5, Walliser_Schwarznasenschaf  5",
Rüschegg,571.0,10.0,33.6,"Braunkoepfiges_Fleischschaf  96, Lacaune  92, Schwarzbraunes_Bergschaf  80, Kreuzung  67, Nolana  45",
Zuoz,403.0,6.1,33.6,"Weisses_Alpenschaf  392, Schwarzbraunes_Bergschaf  8",
Alpnach,384.0,7.1,6.3,"Schwarzbraunes_Bergschaf  109, Weisses_Alpenschaf  75, Suffolk  52, Kreuzung  46, Nolana  25",
Samnaun,1511.0,26.8,192.7,"Weisses_Alpenschaf  592, Kreuzung  473, Saaser_Mutte  33, Spiegelschaf  24, Schwarzbraunes_Bergschaf  20",Driling  7
Entlebuch,1184.0,20.8,36.7,"Lacaune  518, Schwarzbraunes_Bergschaf  140, Nolana  127, Weisses_Alpenschaf  103, Shropshire  81",
La Chaux-de-Fonds,71.0,1.3,0.2,"Walliser_Schwarznasenschaf  20, Schwarzbraunes_Bergschaf  15, Kreuzung  11",
